EQP_NR,MTN_FAC_MNM_NA,EQP_CGP_CD,EQP_MDL_YR_DT,EQP_MNU_ABR_NA,Engine,EQP_CSF_TYP_CD
000001,KYACD,HTCTX,2018,FRGHT,CUMMINS WESTPORT 12G,TR
000002,KYACD,HTCTX,2018,FRGHT,CUMMINS WESTPORT 12G,TR
000003,KYACD,HTCTX,2018,FRGHT,CUMMINS WESTPORT 12G,TR
000004,KYACD,HTDAT,2017,INTL,CUMMINS ISX 400,TR
000005,KYACD,HTDA,2017,KENWO,PACCAR MX13 EPA13,TR
000006,KYGRA,AVAN,2019,GMC,FORD 4.9L,GS
000007,KYGRA,APTK,2020,CHEV,GMC 4.3L,GS
000008,KYGRA,AVAN,2022,CHEV,GM 6.0L,GS
000009,KYGRA,AVAN,2013,CHEV,FORD 5.4 LITER V8,GS
000010,KYGRA,APK22,2014,CHEV,GM 6.0L,GS
000011,NJPAR,P100D,2007,MOLSN,MBENZ 904,PC
000012,NJPAR,P100,2012,MOLSN,GM 6.0L,PC
000013,NJPAR,P50,2009,MOLSN,GM LR4 V8,PC
000014,NJPAR,P70,2011,UTIL,GM 6.0L WRKHS,PC
000015,NJPAR,P80,2014,MOLSN,GM 6.0L,PC
