EQP_NR,EVT_DT,Latitude,Longitude,Speed,VehicleType
000001,2023-07-11 04:00:06.000,40.25815,-86.65124,68,TR
000001,2023-07-11 04:00:16.000,40.26025,-86.65345,64,TR
000001,2023-07-11 04:00:26.000,40.26231,-86.65562,66,TR
000001,2023-07-11 04:00:36.000,40.26444,-86.65787,67,TR
000001,2023-07-11 04:00:46.000,40.26658,-86.66013,68,TR
000001,2023-07-11 04:00:56.000,40.2687,-86.66255,69,TR
000001,2023-07-11 04:01:06.000,40.27037,-86.66546,68,TR
000001,2023-07-11 04:01:16.000,40.27176,-86.6686,68,TR
000001,2023-07-11 04:01:26.000,40.27315,-86.67175,68,TR
000001,2023-07-11 04:01:36.000,40.27454,-86.67491,68,TR
000001,2023-07-11 04:01:46.000,40.27593,-86.67806,68,TR
000001,2023-07-11 04:01:56.000,40.27732,-86.68121,68,TR
000001,2023-07-11 04:02:06.000,40.27871,-86.68436,68,TR
000001,2023-07-11 04:02:16.000,40.28011,-86.68751,68,TR
000001,2023-07-11 04:02:26.000,40.2815,-86.69067,68,TR
000001,2023-07-11 04:02:36.000,40.28289,-86.69382,68,TR
000001,2023-07-11 04:02:46.000,40.28428,-86.69698,68,TR
000001,2023-07-11 04:02:56.000,40.28579,-86.70004,68,TR
000001,2023-07-11 04:03:06.000,40.28751,-86.70291,68,TR
000001,2023-07-11 04:03:16.000,40.2894,-86.70558,68,TR
000001,2023-07-11 04:03:26.000,40.29139,-86.70811,68,TR
000001,2023-07-11 04:03:36.000,40.29339,-86.71067,68,TR
000001,2023-07-11 04:03:46.000,40.2954,-86.71321,68,TR
000001,2023-07-11 04:03:56.000,40.29741,-86.71576,68,TR
000001,2023-07-11 04:04:06.000,40.29942,-86.71831,68,TR
000001,2023-07-11 04:04:16.000,40.30142,-86.72085,68,TR
000001,2023-07-11 04:04:26.000,40.30347,-86.72345,68,TR
000001,2023-07-11 04:04:36.000,40.30545,-86.72601,68,TR
000001,2023-07-11 04:04:46.000,40.30747,-86.72855,68,TR
000001,2023-07-11 04:04:56.000,40.30943,-86.73116,68,TR
000001,2023-07-11 04:05:06.000,40.31115,-86.73405,69,TR
000001,2023-07-11 04:05:16.000,40.31276,-86.73705,68,TR
000001,2023-07-11 04:05:26.000,40.31436,-86.74004,68,TR
000001,2023-07-11 04:05:36.000,40.31598,-86.74304,68,TR
000001,2023-07-11 04:05:46.000,40.3176,-86.74603,68,TR
000001,2023-07-11 04:05:56.000,40.31963,-86.74838,67,TR
000001,2023-07-11 04:06:06.000,40.32205,-86.75008,68,TR
000001,2023-07-11 04:06:16.000,40.32449,-86.75181,68,TR
000001,2023-07-11 04:06:26.000,40.32694,-86.75354,68,TR
000001,2023-07-11 04:06:37.000,40.32945,-86.7553,68,TR
000001,2023-07-11 04:06:46.000,40.33185,-86.75699,68,TR
000001,2023-07-11 04:06:57.000,40.33439,-86.75878,68,TR
000001,2023-07-11 04:07:07.000,40.33685,-86.76052,68,TR
000001,2023-07-11 04:07:17.000,40.33932,-86.76225,68,TR
000001,2023-07-11 04:07:27.000,40.34172,-86.76395,68,TR
000001,2023-07-11 04:07:37.000,40.34426,-86.76569,68,TR
000001,2023-07-11 04:07:47.000,40.34674,-86.76734,68,TR
000001,2023-07-11 04:07:57.000,40.34922,-86.76899,68,TR
000001,2023-07-11 04:08:07.000,40.35165,-86.7706,68,TR
000001,2023-07-11 04:08:17.000,40.35419,-86.77231,68,TR
000001,2023-07-11 04:08:27.000,40.35668,-86.77396,68,TR
000001,2023-07-11 04:08:37.000,40.35911,-86.77558,68,TR
